site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-09,2,0.0033,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,4,0.0143,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,5,0.0288,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,6,0.0281,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,7,0.0272,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,8,0.0347,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,9,0.0252,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,10,0.0258,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,11,0.0180,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,12,0.0173,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,13,0.0146,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,14,0.0200,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,15,0.0267,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,16,0.0216,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,17,0.0203,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,18,0.0277,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,19,0.0240,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,20,0.0285,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,21,0.0353,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,22,0.0252,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,23,0.0200,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,0,0.0268,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,1,0.0236,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,2,0.0278,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,4,0.0261,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,5,0.0349,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,6,0.0383,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,7,0.0400,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,8,0.0364,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,9,0.0427,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,10,0.0419,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,11,0.0355,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,12,0.0263,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,13,0.0277,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,14,0.0284,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,15,0.0273,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,16,0.0265,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,17,0.0309,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,18,0.0328,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,19,0.0285,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,20,0.0234,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,21,0.0202,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,22,0.0166,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-10,23,0.0136,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-11,0,0.0097,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-11,1,0.0092,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-11,2,0.0112,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-11,4,0.0225,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-11,5,0.0308,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-11,6,0.0301,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
