site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-07,19,0.7030,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,20,0.7280,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,21,0.6590,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,22,0.7200,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,23,0.6860,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,0,0.6770,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,1,0.6900,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,2,0.6920,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,4,0.6270,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,5,0.5440,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,6,0.6630,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,7,0.7500,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,8,0.6510,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,9,0.6800,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,10,0.6340,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,11,0.5640,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,12,0.4340,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,13,0.4900,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,14,0.5450,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,15,0.4330,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,16,0.4130,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,17,0.4290,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
